instance, rand_score, hillClimb_score, RDM_score, SA_score
0_20, 12744437.500000, 12369431.200000, 12345696.300000, 1.26025e+07
0_21, 12676578.600000, 12318134.800000, 12389156.400000, 1.26734e+07
0_22, 12673789.300000, 12299759.200000, 12288454.300000, 1.26269e+07
0_23, 12716717.500000, 12356693.500000, 12289734.900000, 1.27799e+07
0_24, 12737679.200000, 12295025.200000, 12331672.100000, 1.26874e+07
0_25, 12693123.800000, 12346707.300000, 12401616.500000, 1.26665e+07
0_26, 12741822.700000, 12386229.900000, 12469441.500000, 1.26674e+07
0_27, 12720115.100000, 12410556.800000, 12422960.600000, 1.26879e+07
0_28, 12699852.700000, 12302243.100000, 12416354.400000, 1.27344e+07
0_29, 12560373.700000, 12321770.500000, 12378417.900000, 1.27127e+07
